FechaHora,yr,mnth,hr,weekday,weathersit,temp,windspeed,ValorW,banco
2012-08-01 15:00:00,1,8,15,3,1,0.82,0.1642,295.0,Tarde
2012-08-01 16:00:00,1,8,16,3,1,0.8,0.2836,479.0,Tarde
2012-08-01 17:00:00,1,8,17,3,1,0.8,0.1642,837.0,Tarde
2012-08-01 18:00:00,1,8,18,3,3,0.76,0.2239,811.5640000000001,Tarde
2012-08-01 19:00:00,1,8,19,3,1,0.74,0.2537,579.5640000000001,Tarde
2012-08-01 20:00:00,1,8,20,3,1,0.74,0.1642,427.0,Tarde
2012-08-02 15:00:00,1,8,15,4,1,0.78,0.4627,270.0,Tarde
2012-08-02 16:00:00,1,8,16,4,1,0.82,0.194,406.0,Tarde
2012-08-02 17:00:00,1,8,17,4,1,0.82,0.2537,844.428,Tarde
2012-08-02 18:00:00,1,8,18,4,1,0.8,0.2239,767.0,Tarde
2012-08-02 19:00:00,1,8,19,4,1,0.8,0.1642,579.5640000000001,Tarde
2012-08-02 20:00:00,1,8,20,4,1,0.78,0.0,427.0,Tarde
2012-08-03 15:00:00,1,8,15,5,1,0.88,0.2537,380.0,Tarde
2012-08-03 16:00:00,1,8,16,5,2,0.86,0.2239,492.0,Tarde
2012-08-03 17:00:00,1,8,17,5,2,0.84,0.2836,741.0,Tarde
2012-08-03 18:00:00,1,8,18,5,2,0.82,0.2537,671.0,Tarde
2012-08-03 19:00:00,1,8,19,5,2,0.8,0.2239,469.0,Tarde
2012-08-03 20:00:00,1,8,20,5,2,0.78,0.2239,389.0,Tarde
2012-08-04 15:00:00,1,8,15,6,1,0.88,0.4179,489.0,Tarde
2012-08-04 16:00:00,1,8,16,6,1,0.9,0.2985,450.0,Tarde
2012-08-04 17:00:00,1,8,17,6,1,0.88,0.2985,492.0,Tarde
2012-08-04 18:00:00,1,8,18,6,1,0.86,0.3284,490.0,Tarde
2012-08-04 19:00:00,1,8,19,6,1,0.82,0.3582,397.0,Tarde
2012-08-04 20:00:00,1,8,20,6,1,0.82,0.2985,312.0,Tarde
2012-08-05 15:00:00,1,8,15,0,1,0.9,0.5224,450.0,Tarde
2012-08-05 16:00:00,1,8,16,0,1,0.82,0.2537,421.0,Tarde
2012-08-05 17:00:00,1,8,17,0,1,0.82,0.2537,382.0,Tarde
2012-08-05 18:00:00,1,8,18,0,3,0.7,0.1343,229.0,Tarde
2012-08-05 19:00:00,1,8,19,0,1,0.7,0.2239,185.0,Tarde
2012-08-05 20:00:00,1,8,20,0,1,0.7,0.1045,193.0,Tarde
2012-08-06 15:00:00,1,8,15,1,1,0.82,0.1343,274.0,Tarde
2012-08-06 16:00:00,1,8,16,1,1,0.84,0.1045,451.0,Tarde
2012-08-06 17:00:00,1,8,17,1,1,0.82,0.0,844.428,Tarde
2012-08-06 18:00:00,1,8,18,1,1,0.82,0.1343,811.5640000000001,Tarde
2012-08-06 19:00:00,1,8,19,1,1,0.78,0.194,579.5640000000001,Tarde
2012-08-06 20:00:00,1,8,20,1,1,0.76,0.1642,427.0,Tarde
2012-08-07 15:00:00,1,8,15,2,1,0.8,0.0,306.0,Tarde
2012-08-07 16:00:00,1,8,16,2,3,0.76,0.2836,445.0,Tarde
2012-08-07 17:00:00,1,8,17,2,2,0.78,0.1343,844.428,Tarde
2012-08-07 18:00:00,1,8,18,2,2,0.76,0.1642,811.5640000000001,Tarde
2012-08-07 19:00:00,1,8,19,2,2,0.76,0.1045,579.5640000000001,Tarde
2012-08-07 20:00:00,1,8,20,2,2,0.74,0.1343,427.0,Tarde
2012-08-08 15:00:00,1,8,15,3,2,0.84,0.194,278.0,Tarde
2012-08-08 16:00:00,1,8,16,3,2,0.8,0.2836,441.0,Tarde
2012-08-08 17:00:00,1,8,17,3,2,0.8,0.2836,844.428,Tarde
2012-08-08 18:00:00,1,8,18,3,2,0.78,0.1642,811.5640000000001,Tarde
2012-08-08 19:00:00,1,8,19,3,1,0.76,0.2239,579.5640000000001,Tarde
2012-08-08 20:00:00,1,8,20,3,1,0.74,0.194,427.0,Tarde
2012-08-09 15:00:00,1,8,15,4,1,0.88,0.2239,267.0,Tarde
